Species,zone_n,zone_s,zone_g
Acer_longipes,else,NA,else
Acer_lucidum,else,NA,else
Acer_macrophyllum,else,NA,else
Acer_mandshuricum,else,NA,else
Acer_maximowiczianum,else,NA,else
Acer_maximowiczii,else,NA,else
Acer_micranthum,else,NA,else
Acer_miyabei,else,else,else
Acer_monspessulanum,else,else,else
Acer_negundo,else,else,else
Acer_nigrum,else,else,else
Acer_nipponicum,else,NA,else
Acer_oblongum,else,else,else
Acer_obtusifolium,else,NA,else
Acer_oliverianum,else,else,else
Acer_opalus,else,else,else
Acer_palmatum,else,else,else
Acer_paxii,else,else,else
Acer_pectinatum,else,else,else
Acer_pensylvanicum,else,else,else
Acer_pictum,else,NA,else
Acer_platanoides,else,else,else
Acer_pseudoplatanus,else,else,else
Acer_pseudosieboldianum,else,NA,else
Acer_pycnanthum,else,NA,else
Acer_rubescens,else,NA,else
Acer_rubrum,else,else,else
Acer_rufinerve,else,else,else
Acer_saccharinum,else,else,else
Acer_saccharum,else,else,else
Acer_sempervirens,else,NA,else
Acer_serrulatum,else,NA,else
Acer_shirasawanum,else,NA,else
Acer_sieboldianum,else,NA,else
Acer_sikkimense,else,else,else
Acer_sinense,else,NA,else
Acer_spicatum,else,NA,else
Acer_stachyophyllum,else,NA,else
Acer_sterculiaceum,else,NA,else
Acer_tataricum,else,else,else
Acer_tegmentosum,else,NA,else
Acer_tenuifolium,else,NA,else
Acer_tonkinense,else,NA,else
Acer_triflorum,else,else,else
Acer_truncatum,else,else,else
Acer_tschonoskii,else,NA,else
Acer_tutcheri,else,NA,else
Acer_wardii,else,NA,else
Aceratium_brassii,NA,tropical,tropical
Aceratium_concinnum,NA,else,else
Aceratium_ledermannii,NA,tropical,tropical
Aceratium_megalospermum,NA,else,else
Aceratium_oppositifolium,tropical,tropical,tropical
Achatocarpus_gracilis,else,NA,else
Achatocarpus_nigricans,else,else,else
Achatocarpus_oaxacanus,else,NA,else
Achatocarpus_praecox,tropical,else,else
Achatocarpus_pubescens,else,tropical,tropical
Acioa_dolichopoda,tropical,tropical,tropical
Acioa_edulis,tropical,tropical,tropical
Acioa_guianensis,tropical,tropical,tropical
Acioa_longipendula,tropical,tropical,tropical
Ackama_australiensis,NA,else,else
Ackama_paniculosa,NA,else,else
Ackama_rosifolia,NA,else,else
Acmanthera_latifolia,tropical,tropical,tropical
Acmopyle_pancheri,NA,else,else
Acnistus_arborescens,else,else,tropical
Acoelorraphe_wrightii,else,NA,else
Acokanthera_oblongifolia,else,else,else
Acokanthera_oppositifolia,else,else,else
Acokanthera_rotundata,NA,else,else
Acokanthera_schimperi,tropical,tropical,tropical
Acosmium_cardenasii,NA,else,else
Acosmium_diffusissimum,NA,else,else
Acosmium_lentiscifolium,NA,else,else
Acradenia_euodiiformis,NA,else,else
Acradenia_frankliniae,NA,else,else
Acridocarpus_austrocaledonicus,NA,else,else
Acridocarpus_excelsus,NA,else,else
Acridocarpus_katangensis,NA,tropical,tropical
Acridocarpus_macrocalyx,tropical,tropical,tropical
Acridocarpus_natalitius,NA,else,else
Acridocarpus_plagiopterus,tropical,NA,tropical
Acridocarpus_spectabilis,else,NA,else
Acritopappus_catolesensis,NA,else,else
Acritopappus_confertus,NA,else,else
Acritopappus_harleyi,NA,else,else
Acritopappus_heterolepis,NA,else,else
Acritopappus_prunifolius,NA,else,else
Acrocarpus_fraxinifolius,else,tropical,else
Acrocomia_aculeata,else,else,else
Acrocomia_hassleri,NA,else,else
Acrocomia_intumescens,NA,tropical,tropical
Acrocomia_totai,else,else,else
Acronychia_acidula,NA,else,else
Acronychia_acronychioides,NA,else,else
Acronychia_baeuerlenii,NA,else,else
Acronychia_crassipetala,NA,else,else
Acronychia_imperforata,NA,else,else
Acronychia_laevis,NA,else,else
Acronychia_littoralis,NA,else,else
Acronychia_murina,NA,tropical,tropical
Acronychia_oblongifolia,NA,else,else
Acronychia_octandra,NA,else,else
Acronychia_parviflora,NA,else,else
Acronychia_pauciflora,NA,else,else
Acronychia_pedunculata,else,tropical,else
Acronychia_pubescens,NA,else,else
Acronychia_pullei,NA,tropical,tropical
Acronychia_suberosa,NA,else,else
Acronychia_trifoliolata,tropical,tropical,tropical
Acronychia_vestita,NA,else,else
Acronychia_wilcoxiana,NA,else,else
Actephila_excelsa,tropical,tropical,tropical
Actephila_lindleyi,tropical,else,else
Actephila_ovalis,tropical,NA,tropical
Actephila_sessilifolia,NA,else,else
Actinocheita_filicina,else,NA,else
Actinodaphne_borneensis,tropical,tropical,tropical
Actinodaphne_bourdillonii,else,NA,else
Actinodaphne_cupularis,else,NA,else
Actinodaphne_diversifolia,tropical,tropical,tropical
Actinodaphne_glomerata,tropical,tropical,tropical
Actinodaphne_henryi,else,NA,else
Actinodaphne_macrophylla,tropical,tropical,tropical
Actinodaphne_mushaensis,else,NA,else
Actinodaphne_nitida,NA,tropical,tropical
Actinodaphne_obovata,else,NA,else
Actinodaphne_pilosa,else,NA,else
Actinodaphne_procera,tropical,tropical,tropical
Actinodaphne_pruinosa,tropical,tropical,tropical
Actinokentia_divaricata,NA,else,else
Actinostemon_amazonicus,tropical,tropical,tropical
Actinostemon_caribaeus,else,NA,else
Actinostemon_concepcionis,NA,else,else
Actinostemon_concolor,else,else,else
Actinostemon_klotzschii,tropical,else,else
Actinostemon_schomburgkii,tropical,else,else
Actinostemon_verticillatus,NA,else,else
Adansonia_digitata,else,else,tropical
Adansonia_grandidieri,NA,else,else
Adansonia_gregorii,NA,else,else
Adansonia_madagascariensis,NA,else,else
Adansonia_rubrostipa,NA,else,else
Adansonia_za,else,else,else
Adelia_barbinervis,else,NA,else
Adelia_membranifolia,else,else,else
